,num_of_weeks,lyric,name,artist,year
1,2,Baby s good to me you know She s happy as can be you know She said so I m in love with her and I feel fine Baby says she s mine you know She tells me all the time you know She said so I m in love with her and I feel fine I m so glad that she s my little girl She s so glad she s telling all the world That here baby buys her things you know He buys her diamond rings you know She said so She s in love with me and I feel fine Baby says she s mine you know She tells me all the time you know She said so I m in love with her and I feel fine I m so glad that she s my little girl She s so glad she s telling all the world That her baby buys her things you know He buys her diamond rings you know She said so She s in love with me and I feel fine She s in love with me and I feel fine,I Feel Fine,"The Beatles ",1965
2,1,I ve been crying Cause I m lonely for you Smiles have all turned to tears But tears won t wash away the fears That you re never ever gonna return To ease the fire that within me burns It keeps me crying baby for you Keeps me sighin baby for you So won t you hurry Come on boy see about me Come see about me See about you baby I ve given up my friends just for you My friends are gone And you have too No peace shall I find Until you come back And be mine No matter what you do or say I m gonna love you anyway Keep on crying baby for you I m gonna keep sighin baby for you So come on hurry Come on and see about me Come see about me See about you baby Sometime s up Sometime s down My life s so uncertain With you not around From my arms you maybe out of reach But my heart says you re here to keep Keeps me crying baby for you Keep on keep on crying baby for you So won t you hurry Come on boy see about me Come see about me See about you baby Come see about me You know I m so lonely Come see about me I love you only Come see about me See about your baby Come see about me Hurry hurry,Come See About Me,"The Supremes ",1965
3,2,When you re alone and life is making you lonely You can always go downtown When you ve got worries all the noise and the hurry Seems to help I know downtown Just listen to the music of the traffic in the city Linger on the sidewalk where the neon signs are pretty How can you lose The lights are much brighter there You can forget all your troubles forget all your cares So go downtown things ll be great when you re Downtown no finer place for sure Downtown everything s waiting for you Don t hang around and let your problems surround you There are movie shows downtown Maybe you know some little places to go to Where they never close downtown Just listen to the rhythm of a gentle bossa nova You ll be dancing with him too before the night is over Happy again The lights are much brighter there You can forget all your troubles forget all your cares So go downtown where all the lights are bright Downtown waiting for you tonight Downtown you re gonna be all right now And you may find somebody kind to help and understand you Someone who is just like you and needs a gentle hand to Guide them along So maybe I ll see you there We can forget all our troubles forget all our cares So go downtown things ll be great when you re Downtown don t wait a minute for Downtown everything s waiting for you Downtown downtown downtown downtown,Downtown,"Petula Clark ",1965
4,2,You never close your eyes any more When I kiss your lips And there s no tenderness like before In your fingertips You re trying hard not to show it baby But baby baby I know it You ve lost that loving feeling Oh that loving feeling You ve lost that loving feeling Now it s gone gone gone Whoa oh Now there s no tenderness In your eyes when I reach for you And girl you re starting to criticize little things I do It makes me just feel like crying baby Cause baby something beautiful s dying You ve lost that loving feeling Oh that loving feeling Bring back that loving feeling Now it s gone gone gone And I can t go on No oh oh Baby baby I get down on my knees for you If you would only love me like you used to do We had a love A love a love you don t find every day So don t don t don t let it slip away Bring back that loving feeling Oh that loving feeling Bring back that loving feeling Now it s gone gone gone And I can t go on No oh oh,You've Lost That Lovin' Feelin',"The Righteous Brothers ",1965
5,2,Not Found,This Diamond Ring,"Gary Lewis And The Playboys ",1965
6,1,I ve got sunshine on a cloudy day When it s cold outside I ve got the month of May I guess you d say What can make me feel this way My girl my girl my girl Talkin bout my girl My girl I ve got so much honey the bees envy me I ve got a sweeter song than the birds in the trees Well I guess you d say What can make me feel this way My girl my girl my girl Talkin bout my girl My girl Ooh Hey hey hey Hey hey hey Yeah I don t need no money fortune or fame I got all the riches baby one man can claim Well I guess you d say What can make me feel this way My girl my girl my girl Talkin bout my girl My girl I ve got sunshine on a cloudy day With my girl I ve even got the month of may With my girl Talkin bout talkin bout Talkin bout my girl my girl That s all I can talk about Is my girl,My Girl,"The Temptations ",1965
7,2,Oh I need your love babe Guess you know it s true Hope you need my love babe Just like I need you Hold me love me hold me love me I ain t got nothing but love babe Eight days a week Love you every day girl Always on my mind One thing I can say girl Love you all the time Hold me love me hold me love me I ain t got nothing but love girl Eight days a week Eight days a week I love you Eight days a week Is not enough to show I care Ooh I need your love babe Guess you know it s true Hope you need my love babe Just like I need you Hold me love me hold me love me I ain t got nothing but love babe Eight days a week Eight days a week I love you Eight days a week is not enough to show I care Love you every day girl Always on my mind One thing I can say girl Love you all the time Hold me love me hold me love me I ain t got nothing but love babe Eight days a week Eight days a week Eight days a week,Eight Days A Week,"The Beatles ",1965
8,2,Stop In the name of love Before you break my heart Baby baby I m aware of where you go Each time you leave my door I watch you walk down the street Knowing your other love you ll meet But this time before you run to her Leaving me alone and hurt Think it over After I ve been good to you Think it over After I ve been sweet to you Stop In the name of love Before you break my heart Stop In the name of love Before you break my heart Think it over Think it over I ve known of your Your secluded nights I ve even seen her Maybe once or twice But is her sweet expression Worth more than my love and affection But this time before you leave my arms And rush off to her charms Think it over Haven t I been good to you Think it over Haven t I been sweet to you Stop In the name of love Before you break my heart Stop In the name of love Before you break my heart Think it over Think it over I ve tried so hard hard to be patient Hoping you d stop this infatuation But each time you are together I m so afraid I ll be losing you forever Stop In the name of love Before you break my heart Stop In the name of love Before you break my heart Stop In the name of love Before you break my heart Baby think it over Think it over baby Ooh think it over baby,Stop! In The Name Of Love,"The Supremes ",1965
9,2,I m telling you now I m telling you right away I ll be saying for many a day I m in love with you now I m telling you now I ll say what you want to hear I ll be saying for many a year I m in love with you now Do you think I m foolin When I say I love you I love you Maybe you ll believe me when I m finally through blue blue blue I m telling you now I know it s been said before Say you love me and I will be sure I m in love with you now Instrumental Break I m telling you now I m telling you right away I ll be saying for many a day I m in love with you now Do you think I m foolin When I say I love you I love you Maybe you ll believe me when I m finally through blue blue blue I m telling you now I know it s been said before Say you love me and I will be sure I m in love with you now I m in love with you now I m telling you now,I'm Telling You Now,"Freddie And The Dreamers ",1965
10,1,The purpose of a man is to love a woman And the purpose of a woman is to love a man So come on baby let s start today come on baby let s play The game of love love la la la la la love It started long ago in the Garden of Eden When Adam said to Eve baby you re for me So come on baby let s start today come on baby let s play The game of love love la la la la la love Come on baby cause the time is right Love your daddy with all your might Put your arms around me hold me tight Play the game of love The purpose of a man is to love a woman And the purpose of a woman is to love a man So come on baby let s start today come on baby let s play The game of love love la la la la la love The purpose of a man is to love a woman And the purpose of a woman is to love a man So come on baby let s start today come on baby let s play The game of love love la la la la la love Come on baby cause the time is right Love your daddy with all your might Put your arms around me hold me tight Play the game of love The game of love love love love la la la la la love The game of love love love love la la la la la love The game of love baby the game of la la la la love The game of love baby the game of la la la la love,Game Of Love,"Wayne Fontana & The Mindbenders ",1965
